appid,review_count,avg_playtime_hours,median_playtime_hours,recommended_rate,release_year,game_name
16130,61,30.941530054644808,16.066666666666666,0.9180327868852459,2008,Fish Tycoon
16810,66,428.87070707070706,37.53333333333333,0.8181818181818182,2008,Sid Meier's Civilization IV: Colonization
17100,79,54.92658227848101,28.716666666666665,0.810126582278481,2008,Children of the Nile: Enhanced Edition
17470,65,15.928717948717948,14.016666666666667,0.9384615384615385,2009,Dead Space (2008)
19200,72,8.255555555555555,3.8583333333333334,0.6666666666666666,2008,Tank Universal
20200,5,0.95,0.4,0.2,2008,Galactic Bowling
20920,53,33.66509433962264,24.516666666666666,0.7169811320754716,2012,The Witcher 2: Assassins of Kings Enhanced Edition
21110,68,6.640441176470588,5.008333333333333,0.8382352941176471,2010,F.E.A.R.
21680,87,5.377777777777778,3.15,0.5517241379310345,2009,Bionic Commando: Rearmed
22380,49,113.70068027210884,56.41666666666666,0.9183673469387755,2010,Fallout: New Vegas
22500,68,117.08946078431372,16.225,0.7941176470588235,2009,Spectromancer
22670,78,7.719444444444444,6.15,0.6410256410256411,2010,Alien Breed 3: Descent
23490,50,28.071666666666665,20.325000000000003,0.92,2009,Tropico 3
24010,43,207.66976744186044,30.58333333333333,0.6744186046511628,2015,Train Simulator Classic
